filename,author,realname,author_birth_year,author_death_year,author_sex,title,year,firstprint_description,edition_year,edition,genre,id
1970s/korzhikov.kogot_dinozavra.1979.vert,"Коржиков, Виталий Титович",,1931,2007,м,Коготь динозавра,1979,"Коготь динозавра. Повесть [Для мл. шк. возраста], М.: Дет. лит., 1979",1979,"Коготь динозавра. Повесть [Для мл. шк. возраста], М.: Дет. лит., 1979",realism,korzhikov.kogot_dinozavra
1970s/kotovshchikova.diadia_iks.1972.vert,"Котовщикова, Аделаида Александровна",,1909,1985,ж,Дядя Икс,1972,"Дядя Икс [Повесть : Для мл. возраста], Л.: Дет. лит. [Ленингр. отд-ние], 1972",1972,"Дядя Икс [Повесть : Для мл. возраста], Л.: Дет. лит. [Ленингр. отд-ние], 1972",realism,kotovshchikova.diadia_iks
1970s/koval.nedopesok.1975.vert,"Коваль, Юрий Иосифович",,1938,1995,м,Недопёсок,1975,"Недопесок. Повесть [Для ст. дошкольного и мл. школьного возраста], М.: Дет. лит., 1975",2013,"Недопесок. повесть [Для младшего школьного возраста], М.: Изд-во АСТ, Малыш, 2013",realism,koval.nedopesok
1970s/koval_yuriy.priklucheniya_vasi_kurolesova.1971_1973.vert,"Коваль, Юрий Иосифович",,1938,1995,м,Приключения Васи Куролесова,1971,"Приключения Васи Куролесова. Повесть [Для мл. школьного возраста], М.: Дет. лит., 1971",1973,"Приключения Васи Куролесова, М.: Детская литература, 1973",realism,koval_yuriy.priklucheniya_vasi_kurolesova
1970s/kozlov.prezident_ne_uhodit_v_otstavku.1979_1985.vert,"Козлов, Вильям Федорович",,1929,None,м,Президент не уходит в отставку,1979,"Президент не уходит в отставку. Повести [Для сред. и ст. возраста], Л.: Дет. лит. Ленингр. отд-ние, 1979",1985,"Президент не уходит в отставку. Повесть [Для сред. и ст. шк. возраста], Л.: Дет. лит. Ленингр. отд-ние, 1985",realism,kozlov.prezident_ne_uhodit_v_otstavku
1970s/kozlov_vilyam.malchishka_s_sobakoy.1973_1983.vert,"Козлов, Вильям Федорович",,1929,None,м,Мальчишка с собакой,1973,"Горсть рыболовных крючков. Повести и рассказы [Для сред. школьного возраста], Л.: Лениздат, 1973",1983,"Красное небо. Повесть. Рассказы [Для сред. и ст. возраста], Л.: Дет. лит. Ленингр. отд-ние, 1983",realism,kozlov_vilyam.malchishka_s_sobakoy
1970s/kozlov_vilyam.ty_escho_verneshsya_trishka.1976.vert,"Козлов, Вильям Федорович",,1929,None,м,"Ты еще вернёшься, Тришка",1976,Пионер. 1976. № 3—6,1976,Пионер. 1976. № 3—6,realism,kozlov_vilyam.ty_escho_verneshsya_trishka
1970s/kozlov_vilyam.vitka_s_chapaevskoy_ulitsy.1977.vert,"Козлов, Вильям Федорович",,1929,None,м,Витька с Чапаевской улицы,1977,"Витька с Чапаевской улицы. Повесть [Для сред. и ст. возраста], Л.: Дет. лит. Ленингр. отд-ние, 1977",1977,"Витька с Чапаевской улицы. Повесть [Для сред. и ст. возраста], Л.: Дет. лит. Ленингр. отд-ние, 1977",realism,kozlov_vilyam.vitka_s_chapaevskoy_ulitsy
1970s/krapivin.begstvo_rogatyh_vikingov.1970_2005.vert,"Крапивин, Владислав Петрович",,1938,2020,м,Бегство рогатых викингов,1970,"Бегство рогатых викингов [Такая была планета ; Лерка : Для детей], Свердловск: Сред.-урал. кн. изд-во, 1970",2005,"Бегство рогатых викингов, М.: Эксмо, 2005",realism,krapivin.begstvo_rogatyh_vikingov
1970s/krapivin.kolybelnaya.1978.vert,"Крапивин, Владислав Петрович",,1938,2020,м,Колыбельная для брата,1979,Пионер. 1979. № 1—5,1980,"Колыбельная для брата, Свердловск: Сред.-урал. кн. изд-во, 1980",realism,krapivin.kolybelnaya
